Time,id,symbol,type,state,filled_amount,filled_fees,filled_cash_amount,source
2024-04-13 22:09:38.627,1045828692351658,adausdt,buy-limit,filled,98.5908,0.16760436,49.851452112,api
2024-04-13 22:15:56.117,1045828742781211,adausdt,buy-limit,filled,98.5254,0.15764064,49.9091251494,api
2024-04-13 22:32:41.143,1045828902553808,adausdt,sell-stop-limit,filled,196.791,0.16852628677611,99.1331098683,api
2024-04-13 22:41:44.428,1045828977528998,adausdt,buy-stop-limit,filled,99.1078,0.16848326,50.0229772174,api
2024-04-13 22:42:38.474,1045828985951839,adausdt,buy-limit,filled,97.364,0.1655188,49.0459094317,api
2024-04-13 23:11:47.934,1045829212182299,adausdt,sell-stop-limit,filled,196.1378,0.16767948451487,98.6349908911,api
2024-04-13 23:17:00.009,1045829280047264,adausdt,buy-limit,filled,99.06,0.158496,49.93822626,api
2024-04-13 23:19:38.663,1045829296462184,adausdt,buy-limit,filled,96.1423,0.16344191,48.5780711476,api
2024-04-13 23:28:19.572,1045829363374823,adausdt,sell-limit,filled,194.8804,0.1587121568032,99.195098002,api
2024-04-13 23:30:33.995,1045829397652193,adausdt,buy-limit,filled,98.2113,0.15713808,50.004283395,api
2024-04-13 23:30:38.778,1045829397120149,adausdt,buy-limit,filled,96.3991,0.16387847,49.1294157186,api
2024-04-13 23:41:35.190,1045829489394306,adausdt,sell-stop-limit,filled,194.2893,0.16704376174026,98.2610363178,api
2024-04-13 23:45:22.386,1045829531798960,adausdt,buy-stop-limit,filled,98.5175,0.16747975,49.9640367825,api
2024-04-13 23:46:38.405,1045829539436063,adausdt,buy-limit,filled,94.8267,0.16120539,47.9964393783,api
2024-04-13 23:48:10.621,1045829556769816,adausdt,sell-stop-limit,filled,193.0156,0.16568059561708,97.4591738924,api
2024-04-14 12:37:49.972,1045836049450240,adausdt,buy-limit,filled,109.3882,0.18595994,49.9173360824,api
2024-04-14 12:40:14.081,1045836066231089,adausdt,buy-limit,filled,109.3405,0.18587885,49.7749664745,api
2024-04-14 19:15:43.318,1045839354603168,adausdt,sell-stop-limit,filled,218.3568,0.17158874753376,100.9345573728,api
2024-04-14 21:02:37.941,1045840277473146,adausdt,buy-limit,filled,108.0432,0.18367344,49.635586296,api
2024-04-14 21:04:06.130,1045840276885632,adausdt,sell-stop-limit,filled,107.8595,0.0841580004601,49.504706153,api
2024-04-14 21:07:34.240,1045840293594928,adausdt,buy-stop-limit,filled,105.6068,0.17953156,48.90335908,api
