Date,Open,High,Low,Close,Adj Close,Volume
2020-01-09,0.22,0.22,0.21,0.22,0.22,41224916.0
2020-01-10,0.22,0.24,0.2,0.2,0.2,19887030.0
2020-01-11,0.2,0.2,0.17,0.17,0.17,13413120.0
2020-01-12,0.17,0.18,0.16,0.17,0.17,11203259.0
2020-01-13,0.17,0.18,0.16,0.17,0.17,12567148.0
2020-01-14,0.17,0.17,0.14,0.15,0.15,11894047.0
2020-01-15,0.15,0.15,0.13,0.13,0.13,10985436.0
2020-01-16,0.13,0.15,0.12,0.12,0.12,9375598.0
2020-01-17,0.12,0.13,0.12,0.12,0.12,7996537.0
2020-01-18,0.12,0.13,0.12,0.13,0.13,7046880.0
2020-01-19,0.13,0.13,0.11,0.11,0.11,7479868.0
2020-01-20,0.11,0.12,0.11,0.11,0.11,5146966.0
2020-01-21,0.11,0.13,0.11,0.13,0.13,9157239.0
2020-01-22,0.13,0.15,0.12,0.13,0.13,11482297.0
2020-01-23,0.13,0.13,0.12,0.13,0.13,7589947.0
2020-01-24,0.13,0.13,0.12,0.12,0.12,7184388.0
2020-01-25,0.12,0.12,0.12,0.12,0.12,5315613.0
2020-01-26,0.12,0.12,0.11,0.12,0.12,5286873.0
2020-01-27,0.12,0.12,0.12,0.12,0.12,5936396.0
2020-01-28,0.12,0.12,0.11,0.11,0.11,6020590.0
2020-01-29,0.11,0.11,0.11,0.11,0.11,5264141.0
2020-01-30,0.11,0.11,0.1,0.11,0.11,5611554.0
2020-01-31,0.11,0.12,0.1,0.11,0.11,6578113.0
2020-02-01,0.11,0.11,0.11,0.11,0.11,6121798.0
2020-02-02,0.11,0.13,0.11,0.12,0.12,7078271.0
2020-02-03,0.12,0.12,0.11,0.11,0.11,7221184.0
2020-02-04,0.11,0.12,0.11,0.12,0.12,6890676.0
2020-02-05,0.12,0.12,0.11,0.12,0.12,6581661.0
2020-02-06,0.12,0.28,0.12,0.25,0.25,70320606.0
2020-02-07,0.26,0.32,0.21,0.22,0.22,44690322.0
2020-02-08,0.22,0.35,0.21,0.31,0.31,48534232.0
2020-02-09,0.31,0.46,0.28,0.44,0.44,85364648.0
2020-02-10,0.44,0.45,0.36,0.38,0.38,48620093.0
2020-02-11,0.38,0.38,0.33,0.35,0.35,29835404.0
2020-02-12,0.35,0.4,0.3,0.32,0.32,37426510.0
2020-02-13,0.32,0.35,0.3,0.33,0.33,31467865.0
2020-02-14,0.33,0.33,0.28,0.28,0.28,21424372.0
2020-02-15,0.28,0.37,0.27,0.28,0.28,31994054.0
2020-02-16,0.28,0.32,0.26,0.29,0.29,24990917.0
2020-02-17,0.29,0.34,0.28,0.32,0.32,32023284.0
2020-02-18,0.32,0.37,0.31,0.33,0.33,28055643.0
2020-02-19,0.33,0.34,0.3,0.3,0.3,17146956.0
2020-02-20,0.31,0.31,0.28,0.3,0.3,20887048.0
2020-02-21,0.3,0.31,0.28,0.29,0.29,15802120.0
2020-02-22,0.29,0.3,0.28,0.28,0.28,17381286.0
2020-02-23,0.28,0.29,0.27,0.29,0.29,28190417.0
2020-02-24,0.29,0.32,0.28,0.29,0.29,38764731.0
2020-02-25,0.29,0.29,0.26,0.26,0.26,19133064.0
2020-02-26,0.26,0.29,0.22,0.25,0.25,33922616.0
2020-02-27,0.25,0.31,0.23,0.27,0.27,38371767.0
2020-02-28,0.27,0.32,0.26,0.32,0.32,41682708.0
2020-02-29,0.32,0.35,0.3,0.32,0.32,45510532.0
2020-03-01,0.32,0.35,0.31,0.33,0.33,31882304.0
2020-03-02,0.33,0.34,0.31,0.32,0.32,34935975.0
2020-03-03,0.32,0.33,0.31,0.31,0.31,29496596.0
2020-03-04,0.31,0.37,0.3,0.37,0.37,52804236.0
2020-03-05,0.37,0.38,0.34,0.34,0.34,48209894.0
2020-03-06,0.34,0.4,0.34,0.38,0.38,56301184.0
2020-03-07,0.38,0.47,0.37,0.41,0.41,82983359.0
2020-03-08,0.41,0.54,0.37,0.47,0.47,105450993.0
2020-03-09,0.48,0.54,0.41,0.44,0.44,107417550.0
2020-03-10,0.44,0.51,0.42,0.45,0.45,75002851.0
2020-03-11,0.45,0.49,0.38,0.41,0.41,57345905.0
2020-03-12,0.41,0.41,0.18,0.19,0.19,47141518.0
2020-03-13,0.19,0.28,0.13,0.25,0.25,73037097.0
2020-03-14,0.25,0.27,0.21,0.23,0.23,41412349.0
2020-03-15,0.23,0.25,0.21,0.23,0.23,33242464.0
2020-03-16,0.23,0.23,0.16,0.18,0.18,40438288.0
2020-03-17,0.18,0.23,0.18,0.2,0.2,44753872.0
2020-03-18,0.2,0.21,0.19,0.2,0.2,40139425.0
2020-03-19,0.2,0.24,0.2,0.22,0.22,49098367.0
2020-03-20,0.22,0.26,0.19,0.21,0.21,46905017.0
2020-03-21,0.21,0.21,0.19,0.2,0.2,26182108.0
2020-03-22,0.2,0.21,0.17,0.17,0.17,20572060.0
2020-03-23,0.17,0.2,0.17,0.19,0.19,31530789.0
2020-03-24,0.19,0.22,0.19,0.2,0.2,31748273.0
2020-03-25,0.2,0.23,0.19,0.23,0.23,39493156.0
2020-03-26,0.23,0.24,0.21,0.23,0.23,34503120.0
2020-03-27,0.23,0.24,0.21,0.21,0.21,27370676.0
2020-03-28,0.21,0.21,0.2,0.2,0.2,17606428.0
2020-03-29,0.2,0.21,0.19,0.2,0.2,14513640.0
2020-03-30,0.2,0.21,0.19,0.21,0.21,19176858.0
2020-03-31,0.21,0.21,0.2,0.2,0.2,17664923.0
2020-04-01,0.2,0.21,0.2,0.21,0.21,23181234.0
2020-04-02,0.21,0.26,0.21,0.25,0.25,54430529.0
2020-04-03,0.25,0.28,0.24,0.25,0.25,37680567.0
2020-04-04,0.25,0.26,0.24,0.24,0.24,23728673.0
2020-04-05,0.24,0.25,0.23,0.23,0.23,18866085.0
2020-04-06,0.23,0.26,0.23,0.26,0.26,35822048.0
2020-04-07,0.26,0.29,0.25,0.26,0.26,34441796.0
2020-04-08,0.26,0.28,0.26,0.28,0.28,37590296.0
2020-04-09,0.28,0.28,0.24,0.25,0.25,37186693.0
2020-04-10,0.25,0.25,0.21,0.22,0.22,22848577.0
2020-04-11,0.22,0.23,0.21,0.22,0.22,23833725.0
2020-04-12,0.22,0.24,0.21,0.23,0.23,24217431.0
2020-04-13,0.23,0.24,0.21,0.24,0.24,27817176.0
2020-04-14,0.24,0.26,0.22,0.22,0.22,47367726.0
2020-04-15,0.22,0.23,0.21,0.21,0.21,18494748.0
2020-04-16,0.21,0.23,0.21,0.23,0.23,18125973.0
2020-04-17,0.22,0.23,0.22,0.22,0.22,14316395.0
2020-04-18,0.22,0.24,0.22,0.23,0.23,22505464.0
2020-04-19,0.23,0.24,0.23,0.23,0.23,16357895.0
2020-04-20,0.23,0.24,0.21,0.21,0.21,15349723.0
2020-04-21,0.21,0.22,0.21,0.21,0.21,12540338.0
2020-04-22,0.21,0.23,0.21,0.23,0.23,19312110.0
2020-04-23,0.23,0.23,0.22,0.22,0.22,16111412.0
2020-04-24,0.22,0.23,0.22,0.23,0.23,14205520.0
2020-04-25,0.23,0.24,0.22,0.23,0.23,14441993.0
2020-04-26,0.23,0.25,0.23,0.24,0.24,16771070.0
2020-04-27,0.24,0.24,0.22,0.23,0.23,13829206.0
2020-04-28,0.23,0.24,0.23,0.23,0.23,11557658.0
2020-04-29,0.23,0.24,0.23,0.24,0.24,15428418.0
2020-04-30,0.24,0.24,0.22,0.22,0.22,15101660.0
2020-05-01,0.22,0.24,0.22,0.23,0.23,14978282.0
2020-05-02,0.23,0.25,0.23,0.23,0.23,17315160.0
2020-05-03,0.23,0.23,0.22,0.23,0.23,13381527.0
2020-05-04,0.22,0.23,0.2,0.21,0.21,14572164.0
2020-05-05,0.21,0.21,0.19,0.2,0.2,21056457.0
2020-05-06,0.2,0.2,0.18,0.19,0.19,19735723.0
2020-05-07,0.19,0.19,0.16,0.17,0.17,17228781.0
2020-05-08,0.17,0.18,0.16,0.17,0.17,15391891.0
2020-05-09,0.17,0.19,0.17,0.18,0.18,15173282.0
2020-05-10,0.18,0.18,0.14,0.15,0.15,12808634.0
2020-05-11,0.15,0.16,0.14,0.15,0.15,15322516.0
2020-05-12,0.15,0.17,0.15,0.17,0.17,17129359.0
